Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group
b9u,"['vhs', 'fph', 'osf']",[],"['vhs', 'fph', 'osf']",[],[],[],"[('vhs', 4.0), ('fph', 4.0), ('osf', 4.0)]","[('vhs', 4.0), ('fph', 6.0), ('osf', 3.0)]","[('vhs', 1.0), ('fph', 2.0), ('osf', 1.0)]"
ras,"['poi', 'vpi', 'go4', 'ljz', 'fsu']","['poi', 'vpi', 'go4', 'ljz']","['poi', 'vpi', 'go4', 'ljz', 'fsu']","['poi', 'vpi', 'go4']","['poi', 'vpi', 'go4', 'ljz']",[],"[('poi', 4.0), ('vpi', 3.0), ('go4', 3.0), ('ljz', 5.0), ('fsu', 2.0)]","[('poi', 4.0), ('vpi', 3.0), ('go4', 4.0), ('ljz', 5.0), ('fsu', 0.0)]","[('poi', 1.0), ('vpi', 1.0), ('go4', 1.0), ('ljz', 1.0), ('fsu', 1.0)]"
9c3,['15f'],['15f'],[],[],[],[],"[('15f', 0.0)]","[('15f', 3.0)]","[('15f', 3.0)]"
doe,[],[],[],[],[],[],[],[],[]
20r,"['m80', 'kfs']","['m80', 'kfs']",[],[],[],[],"[('m80', 5.0), ('kfs', 5.0)]","[('m80', 8.0), ('kfs', 4.0)]","[('m80', 1.0), ('kfs', 2.0)]"
hro,"['pfr', 'wom', 'ayq', 'cav', '0fo', 'yyj']","['pfr', 'wom', 'ayq', 'cav', '0fo', 'yyj']","['pfr', 'wom', 'ayq', 'cav', '0fo', 'yyj']","['pfr', 'wom', 'ayq', 'cav', '0fo', 'yyj']","['ayq', '0fo']",[],"[('pfr', 1.0), ('wom', 1.0), ('ayq', 1.0), ('cav', 1.0), ('0fo', 1.0), ('yyj', 1.0)]","[('pfr', 4.0), ('wom', 5.0), ('ayq', 2.0), ('cav', 3.0), ('0fo', 4.0), ('yyj', 3.0)]","[('pfr', 1.0), ('wom', 1.0), ('ayq', 1.0), ('cav', 1.0), ('0fo', 1.0), ('yyj', 1.0)]"
tuf,"['pr2', 'fle', '6b9', 'cx9']","['pr2', '6b9']","['pr2', '6b9']","['pr2', 'fle', '6b9', 'cx9']",[],[],"[('pr2', 5.0), ('fle', 7.0), ('6b9', 3.0), ('cx9', 6.0)]","[('pr2', 2.0), ('fle', 2.0), ('6b9', 2.0), ('cx9', 2.0)]","[('pr2', 1.0), ('fle', 2.0), ('6b9', 1.0), ('cx9', 3.0)]"
4aw,"['9vw', '95j']","['9vw', '95j']",[],[],[],[],"[('9vw', 5.0), ('95j', 5.0)]","[('9vw', 6.0), ('95j', 6.0)]","[('9vw', 1.0), ('95j', 1.0)]"
dn0,"['gh9', 'qdi']",['gh9'],['gh9'],"['gh9', 'qdi']",['gh9'],[],"[('gh9', 8.0), ('qdi', 5.0)]","[('gh9', 7.0), ('qdi', 4.0)]",[]
wom,"['cav', 'yyj', 'hro', 'ayq', 'pfr', '0fo']","['cav', 'yyj', 'hro', 'ayq', 'pfr', '0fo']","['cav', 'yyj', 'hro', 'ayq', 'pfr', '0fo']","['cav', 'yyj', 'hro', 'ayq', 'pfr', '0fo']",[],[],"[('cav', 1.0), ('yyj', 1.0), ('hro', 1.0), ('ayq', 1.0), ('pfr', 1.0), ('0fo', 1.0)]","[('cav', 4.0), ('yyj', 4.0), ('hro', 4.0), ('ayq', 4.0), ('pfr', 4.0), ('0fo', 4.0)]","[('cav', 1.0), ('yyj', 1.0), ('hro', 1.0), ('ayq', 1.0), ('pfr', 1.0), ('0fo', 1.0)]"
z63,['qcm'],['qcm'],[],['qcm'],[],[],"[('qcm', 2.0)]","[('qcm', 6.0)]","[('qcm', 1.0)]"
